AnoAtendimento;TrimestreAtendimento;MesAtendimento;DataAtendimento;CodigoRegiao;Regiao;UF;CodigoTipoAtendimento;CodigoAssunto;GrupoAssunto;CodigoProblema;GrupoProblema;SexoConsumidor;FaixaEtariaConsumidor;TipoFornecedor;RazaoSocialSindec;NomeFantasiaSindec
2015;1;3;2015-03-20 10:25:04.000;1;Norte;RO;2;101;Aparelho Celular;102;Problemas com Garantia de Produtos;M;entre 31 a 40 anos;1;LG ELETRONICS DO BRASIL LTDA;LG
2015;1;1;2015-01-06 12:43:13.000;3;Sudeste;SP;3;120;Móveis;112;Vício ou Má Qualidade de Produto ou Serviço;M;entre 21 a 30 anos;1;VIA VAREJO S/A;PONTO FRIO / CASAS BAHIA
2015;1;3;2015-03-11 14:58:06.000;3;Sudeste;RJ;3;186;Telefonia Fixa;143;Problemas com Contrato;M;entre 61 a 70 anos;1;TCT MOBILE TELEFONES LTDA;ALCATEL - APARELHOS TELEFONICOS
2015;1;3;2015-03-16 09:17:00.000;3;Sudeste;RJ;3;100;Colchão;105;Vício ou Má Qualidade de Produto ou Serviço;M;Nao Informada;1;VIA VAREJO S.A;PONTO FRIO CASAS BAHIA NOVA CASA BAHIA
2015;1;2;2015-02-12 12:05:25.000;4;Sul;PR;9;100;Colchão;105;Vício ou Má Qualidade de Produto ou Serviço;F;entre 51 a 60 anos;1;VIA VAREJO S/A - RECLAMAÇÕES AOP;PONTO FRIO E CASAS BAHIA (LOJAS FISICAS)
2015;1;1;2015-01-09 13:57:46.000;5;Centro-oeste;MT;3;183;Água / Esgoto;134;Problemas com Cobrança;M;mais de 70 anos;1;ÁGUAS DE SINOP S/A;ÁGUAS DE SINOP
2015;1;2;2015-02-24 10:09:45.000;5;Centro-oeste;GO;9;187;Telefonia Celular;136;Problemas com Cobrança;F;entre 31 a 40 anos;1;14 BRASIL TELECOM CELULAR S/A;OI
2015;1;1;2015-01-21 14:55:12.000;4;Sul;SC;10;54;Cartão de Crédito;27;Problemas com Contrato;F;entre 41 a 50 anos;1;CAIXA ECONOMICA FEDERAL;CAIXA ECONÔMICA FEDERAL
2015;1;1;2015-01-28 10:06:41.000;2;Nordeste;PI;6;64;Empresa Privada / Montepio Pecúlio (Não Relativos ao Valor de Resgate);28;Problemas com Cobrança;M;mais de 70 anos;1;SABEMI SEGURADORA SA;SABEMI
2015;1;2;2015-02-24 18:10:02.000;4;Sul;SC;6;73;Estabelecimento / Loja - Compra a Prazo;28;Problemas com Cobrança;F;entre 51 a 60 anos;1;UNIVERSO ONLINE S/A;DIVISAO UOL
2015;1;3;2015-03-03 17:41:20.000;4;Sul;SC;6;187;Telefonia Celular;241;Problemas com SAC;F;Nao Informada;1;BRASIL TELECOM S/A;BRASIL TELECOM - OI
2015;1;1;2015-01-16 11:20:08.000;2;Nordeste;BA;3;120;Móveis;105;Vício ou Má Qualidade de Produto ou Serviço;M;entre 51 a 60 anos;1;NOVA CASA BAHIA S/A;CASAS BAHIA
2015;1;1;2015-01-09 13:41:16.000;3;Sudeste;ES;3;96;Televisão / Aparelho DVD / Filmadora;105;Vício ou Má Qualidade de Produto ou Serviço;M;entre 21 a 30 anos;1;CEMAZ INDUSTRIA ELETRONICA DA AMAZONIA S.A;CCE
2015;1;3;2015-03-05 14:50:09.000;3;Sudeste;MG;3;53;Banco comercial;28;Problemas com Cobrança;M;entre 41 a 50 anos;1;BANCO VOTORANTIM S.A.;BANCO VOTORANTIM S.A.
2015;1;3;2015-03-06 17:52:26.000;2;Nordeste;MA;3;76;Outros Contratos;28;Problemas com Cobrança;M;entre 31 a 40 anos;1;TELEFONICA BRASIL S.A;VIVO
2015;1;2;2015-02-02 13:09:53.000;1;Norte;PA;2;185;Energia Elétrica;240;Problemas com SAC;F;entre 61 a 70 anos;1;CENTRAIS ELETRICAS DO PARA S/A - CELPA;CELPA
2015;1;3;2015-03-10 12:43:25.000;3;Sudeste;MG;6;100;Colchão;105;Vício ou Má Qualidade de Produto ou Serviço;F;entre 61 a 70 anos;1;ELETROZEMA LTDA;ELETROZEMA
2015;1;1;2015-01-22 15:44:47.000;3;Sudeste;SP;3;259;TV por Assinatura;184;Problemas com Contrato;M;entre 61 a 70 anos;1;SKY;SKY BRASIL SERVIÇOS LTDA
2015;1;3;2015-03-03 09:24:57.000;5;Centro-oeste;MS;6;58;Consórcios;48;Problemas com Entrega de Documentos ao Consumidor;M;entre 31 a 40 anos;1;DANTE GREGNANIN ADVOCACIA;
2015;1;3;2015-03-30 12:13:16.000;5;Centro-oeste;GO;6;96;Televisão / Aparelho DVD / Filmadora;105;Vício ou Má Qualidade de Produto ou Serviço;F;entre 31 a 40 anos;1;CARLOS SARAIVA IMPORTACAO E COMERCIO LTDA;RICARDO ELETRO
2015;1;1;2015-01-14 10:40:16.000;2;Nordeste;PE;9;95;Aparelho de Som;105;Vício ou Má Qualidade de Produto ou Serviço;M;entre 21 a 30 anos;1;GL ELETRONICA;
2015;1;3;2015-03-09 13:48:35.000;5;Centro-oeste;GO;2;53;Banco comercial;249;Vício ou Má Qualidade de Produto ou Serviço;M;Nao Informada;1;BANCO SANTANDER (BRASIL) S/A;(AGÊNCIAS / CARTÃO SANTANDER)
2015;1;3;2015-03-19 11:11:33.000;5;Centro-oeste;MS;9;101;Aparelho Celular;105;Vício ou Má Qualidade de Produto ou Serviço;F;entre 21 a 30 anos;1;SONY BRASIL LTDA. @;SONY (ELETROELETRONICOS)
